phase,epoch,slice_id,fes,best_value,learn_steps,message
summary,,,,,,exp_id=0;func_id=1;agent=LDE;use_fe=True;train_seed=1;test_seed=2;slice_count=10;use_max_fes_limit=False;use_max_learning_step_limit=False;max_fes=2000;max_learning_step=1000000000000
train,0,0,2000,224.1721,1,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,1,2000,223.2285,2,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,2,2000,186.6535,3,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,3,2000,143.5901,4,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,4,2000,167.0371,5,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,5,2000,128.0925,6,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,6,2000,78.1876,7,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,7,2000,58.2122,8,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,8,2000,74.3257,9,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,0,9,2000,52.7462,10,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,0,2000,59.3126,11,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,1,2000,38.7466,12,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,2,2000,58.0671,13,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,3,2000,50.7633,14,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,4,2000,56.3134,15,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,5,2000,44.1928,16,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,6,2000,45.5250,17,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,7,2000,53.6405,18,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,8,2000,36.3395,19,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,1,9,2000,44.1884,20,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,2,0,2000,42.4474,21,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,2,1,2000,50.2616,22,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,2,2,2000,33.1022,23,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
train,2,3,2000,42.9543,24,train_seed=1;use_max_fes_limit=False;use_max_learning_step_limit=False
